number of elements;time;time stride;time managed;time stride managed
100;171;161;0;0
200;458;488;0;0
300;1344;1296;0;0
400;2579;2576;0;0
500;4695;4713;0;0
600;8479;8577;0;0
700;14126;14131;0;0
800;20489;20519;0;0
900;31118;31272;0;0
1000;34676;34641;0;0
1100;43229;40595;0;0
1200;53057;53431;0;0
1300;66274;66231;0;0
1400;82110;82495;0;0
1500;99778;99501;0;0
1600;123208;123123;0;0
1700;151567;155937;0;0
1800;184904;184439;0;0
1900;204595;204262;0;0
2000;242900;242979;0;0
2100;273281;273510;0;0
2200;315637;316646;0;0
2300;360561;360659;0;0
2400;415041;419103;0;0
2500;489409;466702;0;0
2600;523308;523806;0;0
2700;583390;583909;0;0
2800;660710;660101;0;0
2900;718652;719503;0;0
3000;798524;798994;0;0
3100;873284;875746;0;0
3200;987777;987918;0;0
3300;1.06654e+06;1.06734e+06;0;0
3400;1.16726e+06;1.16805e+06;0;0
3500;1.26654e+06;1.26698e+06;0;0
3600;1.40522e+06;1.40623e+06;0;0
3700;1.48455e+06;1.48547e+06;0;0
3800;1.61857e+06;1.61805e+06;0;0
3900;1.72786e+06;1.7262e+06;0;0
4000;1.90855e+06;1.90887e+06;0;0
4100;2.02934e+06;2.0299e+06;0;0
4200;2.18861e+06;2.18948e+06;0;0
4300;2.31782e+06;2.32963e+06;0;0
4400;2.56012e+06;2.56112e+06;0;0
4500;2.65656e+06;2.65724e+06;0;0
4600;2.88311e+06;2.88215e+06;0;0
4700;3.01448e+06;3.01446e+06;0;0
4800;3.27805e+06;3.27771e+06;0;0
4900;3.44501e+06;3.44652e+06;0;0
5000;3.7125e+06;3.71531e+06;0;0
5100;3.8726e+06;3.87769e+06;0;0
5200;4.19458e+06;4.19324e+06;0;0
5300;4.33291e+06;4.33302e+06;0;0
5400;4.6627e+06;4.66121e+06;0;0
5500;4.83142e+06;4.83351e+06;0;0
5600;5.23604e+06;5.23553e+06;0;0
5700;5.448e+06;5.44468e+06;0;0
5800;5.83232e+06;5.82267e+06;0;0
5900;6.02803e+06;6.03104e+06;0;0
6000;6.50879e+06;6.47321e+06;0;0
6100;6.6425e+06;6.64705e+06;0;0
6200;7.09709e+06;7.09224e+06;0;0
6300;7.3328e+06;7.2972e+06;0;0
6400;7.85747e+06;7.81466e+06;0;0
6500;8.10544e+06;8.06968e+06;0;0
6600;8.59571e+06;8.57414e+06;0;0
6700;8.86454e+06;8.81531e+06;0;0
6800;9.43487e+06;9.41723e+06;0;0
6900;9.6331e+06;9.60823e+06;0;0
7000;1.02202e+07;1.01988e+07;0;0
