number of elements;time;time stride;time managed;time stride managed
100;254;232;232;365
200;976;982;981;1225
300;2659;2659;2704;2953
400;6523;6524;6526;6976
500;12320;12343;12328;12852
600;20876;20881;21207;21983
700;26937;26928;26917;27691
800;39882;39876;39859;40724
900;57289;57247;57141;59094
1000;77846;77878;77876;79026
1100;105128;104921;104922;106656
1200;134740;134763;134746;136230
1300;173554;173560;173427;176474
1400;213941;214000;213838;214325
1500;266299;266204;266148;270521
1600;320182;320403;320599;321305
1700;387717;387664;387589;389781
1800;456403;456238;456253;459392
1900;545138;544816;545661;550841
2000;627414;628453;627123;629458
2100;733078;732977;733180;740405
2200;836536;836047;835950;838563
2300;964973;964930;965021;972693
2400;1.08433e+06;1.08443e+06;1.08478e+06;1.09408e+06
2500;1.24801e+06;1.24822e+06;1.24796e+06;1.25867e+06
2600;1.38684e+06;1.38659e+06;1.38679e+06;1.39091e+06
2700;1.56766e+06;1.5678e+06;1.5676e+06;1.57984e+06
2800;1.73354e+06;1.73214e+06;1.73422e+06;1.73661e+06
2900;1.9441e+06;1.94405e+06;1.94336e+06;1.95567e+06
3000;2.13277e+06;2.13785e+06;2.14438e+06;2.14938e+06
3100;2.38454e+06;2.38506e+06;2.38424e+06;2.39964e+06
3200;2.60846e+06;2.6076e+06;2.60656e+06;2.61137e+06
3300;2.87506e+06;2.87437e+06;2.874e+06;2.8863e+06
3400;3.12367e+06;3.12286e+06;3.122e+06;3.12919e+06
3500;3.42419e+06;3.42558e+06;3.4237e+06;3.4407e+06
3600;3.71402e+06;3.71418e+06;3.71268e+06;3.72072e+06
3700;4.05275e+06;4.05086e+06;4.05037e+06;4.07187e+06
3800;4.36053e+06;4.36322e+06;4.36294e+06;4.37013e+06
3900;4.74732e+06;4.74745e+06;4.74672e+06;4.76802e+06
4000;5.09768e+06;5.09822e+06;5.09651e+06;5.10466e+06
4100;5.5117e+06;5.51166e+06;5.51066e+06;5.53558e+06
4200;5.88896e+06;5.89044e+06;5.88945e+06;5.89966e+06
4300;6.35877e+06;6.36018e+06;6.35986e+06;6.38293e+06
4400;6.78898e+06;6.78842e+06;6.78674e+06;6.82546e+06
4500;7.32733e+06;7.32794e+06;7.32699e+06;7.35588e+06
4600;7.79854e+06;7.79745e+06;7.80009e+06;7.81256e+06
4700;8.35194e+06;8.35293e+06;8.35186e+06;8.38065e+06
4800;8.86204e+06;8.86044e+06;8.86144e+06;8.87156e+06
4900;9.45482e+06;9.45646e+06;9.4562e+06;9.48923e+06
5000;1.00075e+07;1.00124e+07;1.00138e+07;1.00306e+07
5100;1.06523e+07;1.06545e+07;1.06574e+07;1.06914e+07
5200;1.12714e+07;1.12765e+07;1.12717e+07;1.12876e+07
5300;1.19656e+07;1.1965e+07;1.19651e+07;1.20007e+07
5400;1.2622e+07;1.26245e+07;1.26172e+07;1.26317e+07
5500;1.33752e+07;1.3377e+07;1.33755e+07;1.34141e+07
5600;1.40779e+07;1.40723e+07;1.40779e+07;1.40976e+07
5700;1.48896e+07;1.48876e+07;1.489e+07;1.49347e+07
5800;1.56426e+07;1.56441e+07;1.56437e+07;1.5663e+07
5900;1.65149e+07;1.65022e+07;1.65024e+07;1.65479e+07
6000;1.73577e+07;1.73385e+07;1.74767e+07;1.74532e+07
6100;1.82814e+07;1.82607e+07;1.82579e+07;1.83006e+07
6200;1.91404e+07;1.91041e+07;1.91034e+07;1.91248e+07
6300;2.01323e+07;2.00905e+07;2.00907e+07;2.0136e+07
6400;2.09953e+07;2.10566e+07;2.10508e+07;2.10748e+07
6500;2.21008e+07;2.20608e+07;2.20601e+07;2.21134e+07
6600;2.29281e+07;2.29079e+07;2.29154e+07;2.30298e+07
6700;2.42236e+07;2.42352e+07;2.4139e+07;2.4102e+07
6800;2.51168e+07;2.50937e+07;2.50819e+07;2.51075e+07
6900;2.62668e+07;2.62355e+07;2.62313e+07;2.62906e+07
7000;2.73645e+07;2.73406e+07;2.73377e+07;2.73632e+07
